Code;Libellé
5510;SA nationale à conseil d'administration
5585;Société d'exercice libéral à forme anonyme à conseil d'administration
7321;Association syndicale autorisée
5443;SARL coopérative de construction
8140;Mutualité sociale agricole
6537;Groupement pastoral
6560;Autre société civile coopérative
7357;Pôle d'équilibre territorial et rural (PETR)
8170;Régime d'assurance chômage
7379;(Autre) Établissement public administratif local
2210;Société créée de fait entre personnes physiques
6541;Société civile immobilière de construction-vente
3210;État, collectivité ou établissement public étranger
7367;Centre Intercommunal d'action sociale (CIAS)
27;Paroisse hors zone concordataire
7353;Syndicat intercommunal à vocation unique (SIVU)
7349;Autre établissement public local de coopération non spécialisé ou entente
7490;Autre personne morale de droit administratif
81;Organisme gérant un régime de protection sociale à adhésion obligatoire
5720;Société par actions simplifiée à associé unique ou société par actions simplifiée unipersonnelle
2700;Paroisse hors zone concordataire
8490;Autre organisme professionnel
5531;Société anonyme mixte d'intérêt agricole (SMIA) à conseil d'administration
6544;Société civile immobilière d' accession progressive à la propriété
6562;SCP d'avocats aux conseils
6542;Société civile d'attribution
2120;Indivision avec personne morale
5655;SA coopérative de transport à directoire
6220;Groupement d'intérêt économique (GIE)
5196;Caisse d'épargne et de prévoyance à forme coopérative
5194;Caisse (fédérale) de crédit mutuel
9230;Association déclarée, reconnue d'utilité publique
7229;(Autre) Collectivité territoriale
6411;Société d'assurance à forme mutuelle
5432;SARL d'intérêt collectif agricole (SICA)
7470;Groupement de coopération sanitaire à gestion publique
4;Personne morale de droit public soumise au droit commercial
41;Etablissement public ou régie à caractère industriel ou commercial
7313;Section de commune
2220;Société créée de fait avec personne morale
8470;Centre technique industriel ou comité professionnel du développement économique
6;Autre personne morale immatriculée au RCS
5455;SARL coopérative de transport
9970;Groupement de coopération sanitaire à gestion privée
5410;SARL nationale
5770;Société de Participations Financières de Profession Libérale Société par actions simplifiée (SPFPL SAS)
5422;SARL immobilière pour le commerce et l'industrie (SICOMI)
8210;Mutuelle
6564;SCP d'huissiers
5505;SA à participation ouvrière à conseil d'administration
5670;Société de Participations Financières de Profession Libérale Société anonyme à Directoire (SPFPL SA à directoire)
2400;Fiducie
8290;Autre organisme mutualiste
6210;Groupement européen d'intérêt économique (GEIE)
5685;Société d'exercice libéral à forme anonyme à directoire
5;Société commerciale
53;Société en commandite
92;Association loi 1901 ou assimilé
8110;Régime général de la Sécurité Sociale
9220;Association déclarée
7363;Caisse de crédit municipal
6318;Union de sociétés coopératives agricoles
6596;Caisse de crédit agricole mutuel
99;Autre personne morale de droit privé
6585;Autre société civile professionnelle
9224;Association d'avocats à responsabilité professionnelle individuelle
6573;SCP d'infirmiers
7343;Communauté urbaine
6538;Groupement foncier et rural
9150;Association syndicale libre
5415;SARL d'économie mixte
7348;Communauté d'agglomération
9240;Congrégation
5520;Fonds à forme sociétale à conseil d'administration
5458;SARL coopérative ouvrière de production (SCOP)
7342;District urbain
9900;Autre personne morale de droit privé
5642;SA d'attribution à directoire
5647;Société coopérative de production de HLM anonyme à directoire
6599;Autre société civile
8410;Syndicat de salariés
93;Fondation
5546;SA de HLM à conseil d'administration
5530;SA d'aménagement foncier et d'équipement rural (SAFER) à conseil d'administration
5195;Association coopérative inscrite (droit local Alsace Moselle)
5658;SA coopérative ouvrière de production (SCOP) à directoire
82;Organisme mutualiste
7120;Service central d'un ministère
5699;SA à directoire (s.a.i.)
5651;SA coopérative de consommation à directoire
8160;Régime vieillesse ne dépendant pas du régime général de la Sécurité Sociale
3110;Représentation ou agence commerciale d'état ou organisme public étranger immatriculé au RCS
5610;SA nationale à directoire
8510;Institution de prévoyance
7364;Établissement d'hospitalisation
2900;Autre groupement de droit privé non doté de la personnalité morale
5654;SA coopérative d'intérêt maritime à directoire
5570;Société de Participations Financières de Profession Libérale Société anonyme à conseil d'administration (SPFPL SA à conseil d'administration)
6598;Exploitation agricole à responsabilité limitée
7430;Établissement public des cultes d'Alsace-Lorraine
71;Administration de l'état
5632;SA d'intérêt collectif agricole (SICA)
5499;Société à responsabilité limitée (sans autre indication)
7371;Office public d'habitation à loyer modéré (OPHLM)
6578;SCP d'architectes
6574;SCP de masseurs-kinésithérapeutes
5542;SA d'attribution à conseil d'administration
5559;SA union de sociétés coopératives à conseil d'administration
8190;Autre régime de prévoyance sociale
7385;Autre établissement public national administratif à compétence territoriale limitée
5193;Caisse de crédit maritime mutuel
7356;Commission syndicale pour la gestion des biens indivis des communes
24;Fiducie
8120;Régime spécial de Sécurité Sociale
7354;Syndicat mixte fermé
7362;Caisse des écoles
5558;SA coopérative ouvrière de production (SCOP) à conseil d'administration
8;Organisme privé spécialisé
6565;SCP de notaires
8420;Syndicat patronal
5547;SA coopérative de production de HLM à conseil d'administration
5515;SA d'économie mixte à conseil d'administration
5625;SA immobilière d'investissement à directoire
51;Société coopérative commerciale particulière
5553;SA coopérative artisanale à conseil d'administration
7150;Service du ministère de la Défense
7230;Région
7331;Établissement public local d'enseignement
7382;Établissement public national ayant fonction d'administration centrale
9300;Fondation
21;Indivision
5203;Société en nom collectif coopérative
6539;Société civile foncière
6100;Caisse d'Épargne et de Prévoyance
7;Personne morale et organisme soumis au droit administratif
2320;Société en participation avec personne morale
5385;Société d'exercice libéral en commandite par actions
7346;Communauté de communes
5652;SA coopérative de commerçants-détaillants à directoire
5605;SA à participation ouvrière à directoire
5599;SA à conseil d'administration (s.a.i.)
6536;Groupement forestier
4110;Établissement public national à caractère industriel ou commercial doté d'un comptable public
7372;Service départemental d'incendie et de secours (SDIS)
5470;Société de Participations Financières de Profession Libérale Société à responsabilité limitée (SPFPL SARL)
5555;SA coopérative de transport à conseil d'administration
7111;Autorité constitutionnelle
3205;Organisation internationale
5631;SA mixte d'intérêt agricole (SMIA)
5431;SARL mixte d'intérêt agricole (SMIA)
5307;Société en commandite simple coopérative
2310;Société en participation entre personnes physiques
5710;SAS, société par actions simplifiée
7340;Pôle métropolitain
9222;Association intermédiaire
6533;Groupement agricole d'exploitation en commun (GAEC)
7373;Établissement public local culturel
22;Société créée de fait
1;Entrepreneur individuel
62;Groupement d'intérêt économique
5554;SA coopérative (d'intérêt) maritime à conseil d'administration
8130;Institution de retraite complémentaire
4150;Régie d'une collectivité locale à caractère industriel ou commercial
